Number,Version,Short description,Author,Category,Workflow,Updated
KB0000239,1.0,"Details or issues concerning the configuration, segmentation, or performance of a sub-network within the broader infrastructure",Security Incident Admin,Network,Published,2025-04-21 16:18:51
KB0000240,1.0,"A TCP Half-Open Scan has been detected or initiated, often used in network diagnostics or security assessments to identify open ports.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:51
KB0000241,1.0,"General reference to TCP, a core protocol in the Internet protocol suite, possibly related to configuration, troubleshooting, or performance.",Security Incident Admin,Data,Published,2025-04-21 16:18:51
KB0000242,1.0,"Documentation or guidance related to contingency planning for users, including backup procedures, failover strategies, or emergency access protocols.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:51
KB0000243,1.0,"Network sniffing activity or concerns, where data packets are intercepted and analyzed, potentially exposing sensitive information.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:50
KB0000244,1.0,"Security concern or detection of war dialing, an outdated technique where phone numbers are dialed to find modems or unsecured systems.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:50
KB0000245,1.0,"Configuration or monitoring of a spanning port (mirror port), used to replicate traffic for analysis or troubleshooting purposes.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000246,1.0,"Description of the store-and-forward technique, where data is temporarily stored before being forwarded to its destination, often used in messaging or networking.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000247,1.0,"Reference to T1 and T3 lines, types of leased telecommunications circuits used for high-speed data transmission.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000248,1.0,"Implementation or issue involving token-based access control, where authentication tokens are used to grant secure access to resources.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:49
KB0000249,1.0,"Reference to a URL, the standard address format used to locate resources on the internet, potentially involving validation or parsing.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:49
KB0000250,1.0,"Information or troubleshooting related to the WHOIS protocol, used for querying domain registration and ownership details.",Security Incident Admin,Network,Published,2025-04-21 16:18:50
KB0000251,1.0,"Discussion or concern involving SHA-1 (Secure Hash Algorithm 1), a cryptographic hash function now considered deprecated due to vulnerabilities.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:50
KB0000252,1.0,"Reference to SOCKS proxy protocol, used to route network packets between client and server through a proxy server for anonymity or access control.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:50
KB0000253,1.0,"Security-related topic involving stealth techniques used to avoid detection, often in the context of malware or unauthorized access.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:50
KB0000254,1.0,"Topic involving synchronization of data, systems, or processes to ensure consistency and real-time alignment across platforms.",Security Incident Admin,Network,Published,2025-04-21 16:18:50
KB0000255,1.0,"Identification or analysis of a threat vector, the path or method used by an attacker to gain unauthorized access to a system.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:50
KB0000256,1.0,"Network tunneling techniques or issues, where data is encapsulated within another protocol to securely traverse incompatible networks.",Security Incident Admin,Data,Published,2025-04-21 16:18:50
KB0000257,1.0,"Overview or issue related to Wireless Application Protocol (WAP), a standard for enabling mobile devices to access internet content and services.",Security Incident Admin,Standards,Published,2025-04-21 16:18:51
KB0000258,1.0,"Dynamic web elements such as scripts, applets, or multimedia that enhance interactivity but may pose security risks if not properly managed.",Security Incident Admin,Software,Published,2025-04-21 16:18:45
KB0000259,1.0,Process of gathering and analyzing information about competitors to inform strategic decisions and maintain market advantage.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000260,1.0,Background process that runs continuously on a system to perform tasks or services without direct user interaction.,Security Incident Admin,Software,Published,2025-04-21 16:18:46
KB0000261,1.0,"A defined set of instructions or rules used to solve problems or perform computations, often foundational in software and cryptography.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000262,1.0,"Text or graphical display presented by a system, often used for identification, legal notices, or security warnings during login.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:46
KB0000263,1.0,"Security vulnerability where a program writes more data to a buffer than it can hold, potentially allowing attackers to execute arbitrary code.",Security Incident Admin,Data,Published,2025-04-21 16:18:46
KB0000264,1.0,"Type of network where a dedicated communication path is established between endpoints for the duration of a session, typical in traditional telephony.",Security Incident Admin,Network,Published,2025-04-21 16:18:46
KB0000265,1.0,Study and practice of analyzing cryptographic systems to uncover weaknesses or decrypt information without access to the key.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:46
KB0000266,1.0,Security strategy that layers multiple protective measures to reduce the likelihood of successful attacks and mitigate risks.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000267,1.0,Comprehensive strategy outlining procedures for restoring systems and operations after a disruptive event or disaster.,Security Incident Admin,Recovery Plan,Published,2025-04-21 16:18:46
KB0000268,1.0,"Response packet sent in reply to an ICMP Echo Request, commonly used in network diagnostics like the ping command.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000269,1.0,"File system architecture designed for improved performance and efficiency in data storage and retrieval, often used in UNIX-based systems.",Security Incident Admin,Data,Published,2025-04-21 16:18:46
KB0000270,1.0,Network attack that manipulates overlapping IP fragments to bypass security filters or cause system instability.,Security Incident Admin,Hack,Published,2025-04-21 16:18:46
KB0000271,1.0,Temporary storage area used to speed up data retrieval by storing frequently accessed information closer to the processor or application.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000272,1.0,"Authentication method using unique biological traits such as fingerprints, facial recognition, or iris scans to verify identity and grant access",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000273,1.0,Collection of IP networks and routers under a single administrative domain that presents a unified routing policy to the internet.,Security Incident Admin,Network,Published,2025-04-21 16:18:45
KB0000274,1.0,Network transmission method where data is sent from one source to all devices within a network segment.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:45
KB0000275,1.0,Authentication protocol that uses a challenge-response mechanism to verify identity without transmitting passwords in plaintext.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:45
KB0000276,1.0,"Security control or action implemented to prevent, detect, or respond to threats and reduce potential impact.",Security Incident Admin,Network,Published,2025-04-21 16:18:45
KB0000277,1.0,"Initial day of a newly discovered vulnerability or threat, often before any mitigation or patch is available, posing elevated risk.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:45
KB0000278,1.0,"Reference to access management controls, including user authentication, authorization, and role-based permissions for secure system access.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:45
KB0000279,1.0,"Core internet routing protocol used to exchange routing information between autonomous systems, enabling efficient path selection across networks.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:45
KB0000280,1.0,"Basic unit of data in a spreadsheet or table, or a component in cellular networks used to define coverage areas and manage connections.",Security Incident Admin,Data,Published,2025-04-21 16:18:45
KB0000281,1.0,Systematic approach to maintaining consistency of a product’s performance and functionality through controlled changes and documentation.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:45
KB0000282,1.0,"Process of analyzing large datasets to discover patterns, trends, or insights, often used in business intelligence and predictive analytics.",Security Incident Admin,Data,Published,2025-04-21 16:18:45
KB0000283,1.0,"TCP connection establishment process involving SYN, SYN-ACK, and ACK packets to initiate reliable communication between two endpoints.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000284,1.0,"Strategic concept involving conflict between parties of unequal strength, often characterized by unconventional tactics such as cyber attacks or guerrilla operations.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000285,1.0,Security tool designed to simulate vulnerable client behavior in order to detect and analyze malicious server-side activity.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000286,1.0,"Structured approach to managing and responding to cybersecurity incidents, including detection, containment, eradication, and recovery.",Security Incident Admin,Denial of Service,Published,2025-04-21 16:18:46
KB0000287,1.0,"Reference to a network hub, a basic device that connects multiple Ethernet devices and broadcasts incoming data to all connected ports.",Security Incident Admin,Data,Published,2025-04-21 16:18:47
KB0000288,1.0,"Concept from the Bell-LaPadula security model, where the Integrity Star Property restricts subjects from writing to objects at higher integrity levels to prevent contamination.",Security Incident Admin,Data,Published,2025-04-21 16:18:47
KB0000289,1.0,"A targeted policy document addressing a specific security concern or operational issue, outlining rules, responsibilities, and enforcement procedures.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000290,1.0,Scanning activity conducted from multiple sources or nodes to identify vulnerabilities across a network while evading detection.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000291,1.0,Networking concept where data is wrapped with protocol-specific headers and trailers for transmission across different layers of the OSI model.,Security Incident Admin,Data,Published,2025-04-21 16:18:47
KB0000292,1.0,"Reference to a filter mechanism used in networking or security to selectively allow or block data based on predefined criteria such as IP, protocol, or content.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000293,1.0,"Reference to a Fully-Qualified Domain Name (FQDN), which specifies the exact location of a domain within the DNS hierarchy, including hostname and domain.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000294,1.0,"Reference to a host system or device on a network, which can provide services, run applications, or serve as a node in communication.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000295,1.0,"Strategic use of information and communication technologies to gain advantage in conflicts, including cyber attacks, propaganda, and data manipulation.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:48
KB0000296,1.0,"A type of denial-of-service attack where excessive IP traffic is directed at a target system, overwhelming its capacity and disrupting normal operations.",Security Incident Admin,Denial of Service,Published,2025-04-21 16:18:48
KB0000297,1.0,"Layer 2 Tunneling Protocol (L2Tp) is a VPN protocol that tunnels data at Layer 2 of the OSI model, often used with IPsec for secure remote access.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:48
KB0000298,1.0,"Reference to MD5 (Message Digest Algorithm 5), a cryptographic hash function used for data integrity checks, though now considered insecure for sensitive applications.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:48
KB0000299,1.0,"Reference to the gethostbyname function, used in programming to resolve a hostname into an IP address, often in legacy network applications.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000300,1.0,Security device or software that monitors and controls incoming and outgoing network traffic based on predetermined security rules to prevent unauthorized access.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:47
KB0000301,1.0,"Signal sent to the processor to temporarily halt current operations and execute a higher-priority task, often used in hardware and software coordination.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000302,1.0,"Cryptographic technique used to verify the authenticity and integrity of digital messages or documents, typically using public key infrastructure.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:46
KB0000303,1.0,Security risk involving unauthorized retrieval of sensitive information from discarded physical materials such as documents or hardware.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000304,1.0,"Configuration or troubleshooting of Extended Access Control Lists (ACLs) in Cisco devices, allowing granular traffic filtering based on source, destination, and protocol.",Security Incident Admin,Standards,Published,2025-04-21 16:18:47
KB0000305,1.0,"Authentication method where users submit credentials through a web form, often used in web applications to control access to protected resources.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:47
KB0000306,1.0,"Reference to a hash function, a mathematical algorithm that converts data into a fixed-size string, commonly used for data integrity and cryptographic applications.",Security Incident Admin,Data,Published,2025-04-21 16:18:47
KB0000307,1.0,"Topic involving HTML, the standard markup language used to structure and display content on the web, including text, images, and links.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:47
KB0000308,1.0,"Reference to IMAP, a protocol used by email clients to retrieve and manage messages stored on a mail server, supporting synchronization across devices.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:47
KB0000309,1.0,Authentication protocol that uses tickets and symmetric key cryptography to securely verify user identities in distributed network environments.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:47
KB0000310,1.0,"Cryptographic protocol used for secure key exchange over an insecure channel, enabling two parties to establish a shared secret without transmitting it directly.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:47
KB0000311,1.0,"Reference to DNS, the hierarchical system that translates human-readable domain names into IP addresses for locating resources on the internet.",Security Incident Admin,Protocol,Published,2025-04-21 16:18:47
KB0000312,1.0,"Networking technology used for local area networks (LANs), enabling devices to communicate via standardized protocols over wired connections.",Security Incident Admin,Standards,Published,2025-04-21 16:18:47
KB0000313,1.0,"Security principle of non-repudiation, ensuring that actions or communications cannot be denied by the parties involved, often supported by digital signatures.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:48
KB0000314,1.0,"Patch is a software update that fixes vulnerabilities, improves performance, or adds new features.",Security Incident Admin,Software,Published,2025-04-21 16:18:30
KB0000315,1.0,Phishing is a cyberattack that tricks users into revealing sensitive information through deceptive messages.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:30
KB0000316,1.0,Pretty Good Privacy (PGP) is an encryption program that provides cryptographic privacy and authentication for data.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:30
KB0000317,1.0,Reconnaissance is the initial phase of an attack where adversaries gather information about a target system.,Security Incident Admin,Hack,Published,2025-04-21 16:18:30
KB0000318,1.0,Root is the highest-level user account in a system with unrestricted access to all commands and files.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:31
KB0000319,1.0,Separation of duties ensures that no single individual has control over all aspects of a critical process.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:31
KB0000320,1.0,Lightweight Directory Access Protocol (LDAP) is a protocol used to access and manage directory information services over an IP network.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:31
KB0000321,1.0,"Morris Worm was one of the first computer worms to spread via the internet, causing a large-scale denial-of-service attack by exploiting vulnerabilities in the Unix operating system.",Security Incident Admin,Software,Published,2025-04-21 16:18:31
KB0000322,1.0,"One-Way Encryption converts data into a secure format that cannot be reversed, used for password storage.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:31
KB0000323,1.0,Penetration testing simulates cyberattacks to identify vulnerabilities in systems and networks.,Security Incident Admin,Network,Published,2025-04-21 16:18:31
KB0000324,1.0,"Possession refers to the state of having control over data or resources, relevant in access control models.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:31
KB0000325,1.0,Public-Key Forward Secrecy (PFS) ensures that session keys cannot be compromised even if the private key is exposed later.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:31
KB0000326,1.0,Risk assessment identifies potential threats and evaluates their impact on system security and operations.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:31
KB0000327,1.0,"OSI layers define a seven-layer model for network communication, from physical transmission to application.",Security Incident Admin,Authentication,Published,2025-04-21 16:18:30
KB0000328,1.0,NAT (Network Address Translation) enables multiple devices to share a single IP address for internet access.,Security Incident Admin,Network,Published,2025-04-21 16:18:30
KB0000329,1.0,Polyinstantiation allows multiple records with the same key but different access levels to prevent inference attacks.,Security Incident Admin,Data,Published,2025-04-21 16:18:30
KB0000330,1.0,"Proxy Server acts as an intermediary between clients and servers, used for filtering, caching, or anonymity.",Security Incident Admin,Network,Published,2025-04-21 16:18:30
KB0000331,1.0,"Reverse engineering analyzes software or hardware to understand its design, often for debugging or security.",Security Incident Admin,Data,Published,2025-04-21 16:18:30
KB0000332,1.0,"Safety in IT security refers to measures that protect systems and users from harm, accidents, or misuse.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:30
KB0000333,1.0,MAC address is a unique identifier assigned to a network interface for communication on a physical network.,Security Incident Admin,Network,Published,2025-04-21 16:18:30
KB0000334,1.0,Network Address Translation (NAT) modifies IP address information to enable devices to share a single public IP.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:30
KB0000335,1.0,Partitions divide system resources or data into isolated segments to enhance security and performance.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:30
KB0000336,1.0,Plaintext refers to unencrypted data that is readable without any cryptographic processing.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:30
KB0000337,1.0,"Promiscuous mode allows a network device to intercept and read all traffic on the network, not just its own.",Security Incident Admin,Network,Published,2025-04-21 16:18:30
KB0000338,1.0,Request For Comment (RFC) is a formal document from the IETF describing standards and protocols for the internet.,Security Incident Admin,Standards,Published,2025-04-21 16:18:30
KB0000339,1.0,Routing Loop occurs when data packets circulate endlessly due to incorrect routing configurations.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:30
KB0000340,1.0,Log Clipping involves removing or hiding portions of system logs to conceal unauthorized activity.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:30
KB0000341,1.0,Secure Sockets Layer (SSL) is a protocol for establishing encrypted links between web servers and browsers to secure data transfer.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:31
KB0000342,1.0,Shell is a command-line interface that allows users to interact with the operating system.,Security Incident Admin,Software,Published,2025-04-21 16:18:31
KB0000343,1.0,Star Property ensures that subjects can only write to objects at their own or lower security levels.,Security Incident Admin,Data,Published,2025-04-21 16:18:32
KB0000344,1.0,Switched Network uses switches to direct data packets to their destination efficiently.,Security Incident Admin,Network,Published,2025-04-21 16:18:32
KB0000345,1.0,Tcpdump is a command-line packet analyzer used to capture and inspect network traffic.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:32
KB0000346,1.0,Triple-Wrapped encryption uses three layers of cryptographic protection to secure sensitive data.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:32
KB0000347,1.0,Virus is a type of malicious software that replicates itself and spreads to other systems.,Security Incident Admin,Software,Published,2025-04-21 16:18:32
KB0000348,1.0,Worm is a self-replicating malware that spreads across networks without user intervention.,Security Incident Admin,Software,Published,2025-04-21 16:18:32
KB0000349,1.0,Simple Network Management Protocol (SNMP) is a protocol used to monitor and manage network devices such as routers and switches.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:32
KB0000350,1.0,Spoof is the act of falsifying identity or data to gain unauthorized access or mislead systems.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:32
KB0000351,1.0,Strong Star Property ensures that access control decisions are based on both subject and object labels.,Security Incident Admin,Data,Published,2025-04-21 16:18:32
KB0000352,1.0,"Tcp Full Open Scan checks for open ports by completing the full TCP handshake, revealing active services.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:33
KB0000353,1.0,"Traceroute (Tracert.Exe) maps the path packets take across networks, helping diagnose routing issues and delays.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:33
KB0000354,1.0,User is an individual or entity authorized to access and interact with a system or application.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:33
KB0000355,1.0,Sniffer is a tool used to capture and analyze network traffic for monitoring or troubleshooting.,Security Incident Admin,Network,Published,2025-04-21 16:18:32
KB0000356,1.0,War Dialer is a tool that automatically dials phone numbers to find modems or remote access systems.,Security Incident Admin,Software,Published,2025-04-21 16:18:32
KB0000357,1.0,"Spam refers to unsolicited messages, often sent in bulk, that can disrupt communication and pose security risks.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:31
KB0000358,1.0,Stimulus in networking refers to an event or signal that triggers a response or action in a system.,Security Incident Admin,Network,Published,2025-04-21 16:18:31
KB0000359,1.0,System-Specific Policy defines security rules tailored to individual systems or applications.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:31
KB0000360,1.0,Token Ring is a network protocol where devices pass a token to control access to the network.,Security Incident Admin,Data,Published,2025-04-21 16:18:31
KB0000361,1.0,"Uniform Resource Identifier (URI) is a string used to identify a resource on the internet, such as a webpage or file.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:31
KB0000362,1.0,Web Server is software or hardware that delivers web content to users over the internet.,Security Incident Admin,Software,Published,2025-04-21 16:18:31
KB0000363,1.0,Session Key is a temporary encryption key used for a single communication session.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:32
KB0000364,1.0,Socket Pair consists of two endpoints used for bidirectional communication between processes.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:32
KB0000365,1.0,Static Routing uses manually configured routes that do not change unless updated by an administrator.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:32
KB0000366,1.0,Syn Flood is a DoS attack that overwhelms a server by sending repeated SYN requests without completing handshakes.,Security Incident Admin,Denial of Service,Published,2025-04-21 16:18:32
KB0000367,1.0,Threat Model identifies potential security risks and outlines strategies to mitigate them.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:32
KB0000368,1.0,Trusted Ports are network ports designated for secure and authorized communication.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:32
KB0000369,1.0,Wired Equivalent Privacy (WEP) is an outdated wireless security protocol that uses weak encryption and is vulnerable to attacks.,Security Incident Admin,Standards,Published,2025-04-21 16:18:33
KB0000370,1.0,Ack Piggybacking combines acknowledgment and data in a single packet to optimize network efficiency.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:26
KB0000371,1.0,"Collision occurs when two or more data packets interfere during transmission, causing loss or corruption.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:27
KB0000372,1.0,Cyclic Redundancy Check (CRC) is an error-detecting code used to check the integrity of data during transmission or storage.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:27
KB0000373,1.0,Advanced Encryption Standard (AES) is a secure symmetric encryption standard used globally for protecting sensitive data.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:27
KB0000374,1.0,Bandwidth refers to the maximum data transfer rate of a network or internet connection.,Security Incident Admin,Data,Published,2025-04-21 16:18:27
KB0000375,1.0,Brute Force attack attempts to guess passwords by systematically trying all possible combinations.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:27
KB0000376,1.0,Ciphertext is encrypted data that cannot be read without decryption using the correct key.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:28
KB0000377,1.0,"Crossover Cable is used to connect two similar devices directly, such as two computers or switches.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000378,1.0,Defacement is an attack that alters the appearance or content of a website or system interface.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000379,1.0,Disassembly is the process of converting machine code back into assembly language for analysis or debugging.,Security Incident Admin,Software,Published,2025-04-21 16:18:28
KB0000380,1.0,Eavesdropping is the unauthorized interception of network communications to gather sensitive data.,Security Incident Admin,Network,Published,2025-04-21 16:18:28
KB0000381,1.0,False Rejects occur when a valid user is incorrectly denied access by an authentication system.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:28
KB0000382,1.0,"Fragment offset indicates the position of a fragment within the original IP packet, used in reassembly.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000383,1.0,"Byte is a unit of digital information consisting of eight bits, used to encode data.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:27
KB0000384,1.0,Bind is a widely used DNS software that translates domain names into IP addresses.,Security Incident Admin,Network,Published,2025-04-21 16:18:27
KB0000385,1.0,Authorization determines what resources a user is allowed to access after authentication.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:26
KB0000386,1.0,British Standard 7799 outlines best practices for information security management systems.,Security Incident Admin,Standards,Published,2025-04-21 16:18:26
KB0000387,1.0,Chain Of Custody documents the handling of evidence to maintain its integrity during investigations.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:27
KB0000388,1.0,Cost Benefit Analysis evaluates the trade-offs between security investments and potential risk reduction.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:27
KB0000389,1.0,Datagram is a self-contained packet of data sent over a network without guaranteed delivery.,Security Incident Admin,Data,Published,2025-04-21 16:18:27
KB0000390,1.0,Access Control Service manages user permissions and enforces security policies across systems.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:27
KB0000391,1.0,Authenticity verifies that data or communication originates from a trusted source.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:27
KB0000392,1.0,Boot Record Infector is malware that targets the boot sector to execute before the operating system loads.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:27
KB0000393,1.0,Call Admission Control (CAC) controls network traffic admission based on bandwidth availability and policy rules.,Security Incident Admin,Network,Published,2025-04-21 16:18:27
KB0000394,1.0,Confidentiality ensures that sensitive data is protected from unauthorized access or disclosure.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:27
KB0000395,1.0,"Data Encryption Standard (DES) is a symmetric-key encryption algorithm used to secure digital data, now considered outdated.",Security Incident Admin,Cryptography,Published,2025-04-21 16:18:27
KB0000396,1.0,Asymmetric Cryptography uses a pair of keys (public and private key) for secure communication and authentication.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:27
KB0000397,1.0,Hijack Attack involves taking control of a session or system to impersonate a legitimate user.,Security Incident Admin,Hack,Published,2025-04-21 16:18:28
KB0000398,1.0,Incident in networking refers to any event that disrupts normal operations or poses a security threat.,Security Incident Admin,Network,Published,2025-04-21 16:18:28
KB0000399,1.0,Gethostbyaddr is a function that resolves an IP address to its corresponding hostname.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:29
KB0000400,1.0,HTTPS is a secure version of HTTP that uses encryption to protect data exchanged between browser and server.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:29
KB0000401,1.0,"Integrity ensures that data remains accurate, consistent, and unaltered during storage or transmission.",Security Incident Admin,Security Incident,Published,2025-04-21 16:18:29
KB0000402,1.0,"ISO develops international standards to ensure quality, safety, and efficiency across industries.",Security Incident Admin,Standards,Published,2025-04-21 16:18:29
KB0000403,1.0,Distance Vector routing calculates the best path based on the number of hops to the destination.,Security Incident Admin,Network,Published,2025-04-21 16:18:29
KB0000404,1.0,Emanations Analysis detects information leakage through electromagnetic signals or other emissions.,Security Incident Admin,Data,Published,2025-04-21 16:18:29
KB0000405,1.0,File Transfer Protocol (FTP) is a protocol used to transfer files between computers over a network.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:29
KB0000406,1.0,Full Duplex allows simultaneous two-way communication between devices over a network.,Security Incident Admin,Data,Published,2025-04-21 16:18:29
KB0000407,1.0,Hops refer to the number of intermediate devices a packet passes through from source to destination.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:29
KB0000408,1.0,Inference Attack deduces sensitive information by analyzing seemingly unrelated data.,Security Incident Admin,Hack,Published,2025-04-21 16:18:29
KB0000409,1.0,Ip Address is a unique identifier assigned to each device connected to a network.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:29
KB0000410,1.0,Masquerade Attack occurs when an attacker pretends to be an authorized user to gain access.,Security Incident Admin,Hack,Published,2025-04-21 16:18:29
KB0000411,1.0,Fingerprinting identifies unique characteristics of a system or device to track or analyze its behavior.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:29
KB0000412,1.0,Escrow Passwords are stored securely by a third party to allow recovery in case of loss or compromise.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:29
KB0000413,1.0,Internet Standard defines protocols and practices that ensure interoperability across systems and networks.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000414,1.0,Layer 2 Forwarding Protocol (L2F) is a tunneling protocol used to establish secure connections over public networks.,Security Incident Admin,Protocol,Published,2025-04-21 16:18:28
KB0000415,1.0,Digital Envelope combines encrypted data and an encrypted key to securely transmit information.,Security Incident Admin,Cryptography,Published,2025-04-21 16:18:28
KB0000416,1.0,DumpSec is a security auditing tool used to analyze permissions and user rights on Windows systems.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000417,1.0,Exposure refers to the state where sensitive data or systems are accessible to unauthorized entities.,Security Incident Admin,Authentication,Published,2025-04-21 16:18:28
KB0000418,1.0,Fork Bomb is a denial-of-service attack that rapidly creates processes to exhaust system resources.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000419,1.0,Hardening involves securing a system by reducing vulnerabilities through configuration and updates.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000420,1.0,Hyperlink is a reference that links users to another document or webpage when clicked.,Security Incident Admin,Security Incident,Published,2025-04-21 16:18:28
KB0000421,1.0,"Internet Engineering Task Force (LETF) develops and promotes voluntary internet standards, including protocols like TCP/IP.",Security Incident Admin,Standards,Published,2025-04-21 16:18:29
